nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
22155365,공통업무,"2021년 1월 서울시립대학교 기획처장 업무추진비 공개",김소은,기획과,20210201144459,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6312,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22155365
22155419,행정,"2021년 1월 유형별 서식민원처리실적(시본청)",김광원,시민봉사담당관,20210201193632,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",02-2133-7908,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22155419
22165739,문화관광,"빛공해 현황분석 및 영향평가 결과(20)",서다정,도시빛정책과,20210202110938,"문화ㆍ관광>도시경관 개선관리>빛공해 현황분석>빛공해 현황분석 및 영향평가 결과",02-2133-1918,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22165739
22165748,행정,"시립곰두리체육센터 2020년 4분기 업무추진비 공개",유재경,장애인자립지원과,20210202125701,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7461,"CC BY-ND",https://opengov.seoul.go.kr/public/22165748
22166675,공통업무,"2020년도 상품권 구매 내역 게시(서울시아동복지센터)",최비가나,아동복지센터,20210202225756,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2040-4207,"CC BY",https://opengov.seoul.go.kr/public/22166675
22175939,건강,"2020년 맞춤형 방문 건강관리 하반기 추진현황",김경옥,건강증진과,20210203162943,"건강ㆍ식품>건강관리>맞춤형 방문 건강관리 사업계획>맞춤형 방문 건강관리 사업계획 및 추진현황",2133-7574,"CC BY-ND",https://opengov.seoul.go.kr/public/22175939
22183514,행정,"서울창업허브 성수 민간위탁 재계약 사유",신봉근,투자창업과,20210204103512,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 재계약 사유(연속2회 이상)",0221334882,"CC BY",https://opengov.seoul.go.kr/public/22183514
22183524,공통업무,"2020년 상품권 구매 및 사용내역 (보건의료정책과)",서명신,보건의료정책과,20210204000000,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2133-7510,"CC BY",https://opengov.seoul.go.kr/public/22183524
22196105,행정,"서울시 초고속정보통신망 광통신시설물 유지관리 민간위탁",홍석원,정보통신보안담당관,20210205091912,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 재계약 사유(연속2회 이상)",02-2133-1839,"CC BY",https://opengov.seoul.go.kr/public/22196105
22197214,건강,"21년 어린이식생활안전 관리계획",유현지,식품정책과,20210205153900,"건강ㆍ식품>식생활 안전>어린이 식품안전 종합대책>어린이 식생활안전 관리계획",02-2133-4741,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22197214
22197216,주택도시계획,"정비사업전문관리업자 현황(2021.1월 기준)",김예원,주거정비과,20210205155102,"주택ㆍ도시계획>주거환경정비>도시주거환경정비 추진현황>정비사업 전문관리업체 등록현황",02-2133-7197,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22197216
22197217,주택도시계획,"2020년 12월 정비사업 통계",김예원,주거정비과,20210205155331,"주택ㆍ도시계획>주거환경정비>도시정비사업 통계>정비사업 통계",02-2133-7197,"CC BY-ND",https://opengov.seoul.go.kr/public/22197217
22197218,건강,"어린이 기호식품 우수판매업소 지정관리현황",유현지,식품정책과,20210205155404,"건강ㆍ식품>식생활 안전>어린이 식품 안전 지도점검결과>어린이 기호식품 우수판매업소 지정관리현황",02-2133-4741,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22197218
22197227,공통업무,"2020년 소방재난본부 소방감사담당관 상품권 구매 및 사용내역",강경섭,소방감사담당관,20210205000000,"공통업무>업무계획>주요 업무계획>서울시 주요 업무계획",3706-1813,"CC BY",https://opengov.seoul.go.kr/public/22197227
22210125,공통업무,"도시계획과 상품권 구매 및 사용내역 ",박미영,도시계획과,20210208083940,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",2133-8308,"CC BY",https://opengov.seoul.go.kr/public/22210125
22210333,공통업무,"상품권 구매 및 사용내역",김경숙,소방재난본부,20210208000000,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",3706-1515,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22210333
22210336,행정,"서울시 협동조합지원센터 운영 민간위탁 재계약 사유",유혜수,사회적경제담당관,20210208144516,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 재계약 사유(연속2회 이상)",02-2133-5499,"CC BY",https://opengov.seoul.go.kr/public/22210336
22210379,공통업무,"2020 상품권 구매 및 사용내역(언론담당관)",박승혜,언론담당관,20210208172612,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2133-6231,"CC BY",https://opengov.seoul.go.kr/public/22210379
22210381,공통업무,"2020년 상반기 상품권 구매 및 사용내역 공개",성윤희,총무과,20210208000000,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",3462-4355,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22210381
