nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
21741501,행정,"2020년 11월 유형별 서식민원처리 실적(시본청)",황중섭,시민봉사담당관,20201203153642,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-ND",https://opengov.seoul.go.kr/public/21741501
21781805,공통업무,"2020년 11월 서울시립대학교 기획처장 업무추진비 공개",김소은,기획과,20201209164545,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6312,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21781805
21781812,공통업무,"2020년 11월 서울시립대학교 연구처장 업무추진비 공개",조준형,"서울시립대학교 연구지원과",20201209171133,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6351,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21781812
21789678,행정,"2020년 제3차 민간위탁 종합성과평가 결과 ",천은진,조직담당관,20201210000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 종합성과평가 결과",02-2133-6753,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21789678
21789693,공통업무,"2020년 11월 서울시립대학교 입학처장 업무추진비",김은경,입학관리과,20201210132609,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",026490-6153,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21789693
21790650,공통업무,"2020년 11월 서울시립대학교 교무처장 업무추진비 사용내역 공개",최선미,"서울시립대학교 교무과",20201210165427,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6108,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21790650
21790662,공통업무,"2020년 11월 서울시립대학교 총장, 행정처장의 업무추진비",유미정,총무과,20201210181531,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6411,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21790662
21836018,환경,"서울특별시 도시가스 공급규정(2020.12.1.)",김경식,녹색에너지과,20201216145815,"환경>집단에너지>집단에너지 사업 추진현황>도시가스 장단기 공급계획",02-2133-3712,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21836018
21863853,행정,"정보공개청구에 따른 공개목록('20.7월~9월)",고미랑,정보공개정책과,20201221000000,"행정ㆍ기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 공개한 목록",2133-7946,"CC BY-ND",https://opengov.seoul.go.kr/public/21863853
21863854,행정,"정보공개청구에 따른 비공개목록('20.7월~9월)",고미랑,정보공개정책과,20201221120652,"행정ㆍ기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 비공개한 목록",2133-7946,"CC BY-ND",https://opengov.seoul.go.kr/public/21863854
21863998,복지,"자치구별 복지정책실 소관 사회복지시설 현황",이충호,복지정책과,20201221143013,"복지>복지시설>자치구 복지시설 현황>자치구별 복지시설현황",02-2133-7326,"CC BY",https://opengov.seoul.go.kr/public/21863998
21863999,경제,"중소기업육성기금 추천현황(2020.11월 말 기준)",김은하,소상공인정책담당관,20201221000000,"경제>중소기업육성기금>중소기업육성기금 추천현황>중소기업육성기금 추천현황",02-2133-5190,"CC BY-ND",https://opengov.seoul.go.kr/public/21863999
