nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
21969352,공통업무,"2020년 동작소방서 소방행정과 상품권 구매 및 사용내역 공개",박호빈,소방행정과,20210104200039,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-841-3119,"CC BY-ND",https://opengov.seoul.go.kr/public/21969352
21969353,공통업무,"2020년 시민건강국 감염병연구센터 상품권 구매 및 사용내역 공개",김혜나,감염병연구센터,20210104202542,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2133-9473,"CC BY",https://opengov.seoul.go.kr/public/21969353
21976863,건강,"농수산물 원산지표시 지도점검 결과",이웅진,식품정책과,20210105095050,"건강ㆍ식품>식생활 안전>원산지 지도점검 결과>농축산물, 수산물 원산지 표시관리 및 지도점검 결과",02-2133-4734,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21976863
21976884,행정,"2020년 12월 유형별 서식민원처리 실적(시본청)",황중섭,시민봉사담당관,20210105132907,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21976884
21977411,공통업무," 2020년 주택정책과 상품권 구매 및 사용내역 ",이보열,주택정책과,20210105142903,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2133-7017,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21977411
21977412,안전,"2020 배출업소 지도점검결과",신동진,물순환정책과,20210105143447,"안전>오폐수 관리>환경오염물질 배출시설 점검결과>환경오염물질 배출시설 통합지도점검 결과",02-2133-3187,"CC BY-ND",https://opengov.seoul.go.kr/public/21977412
21977438,안전,"지점별 항목별 수질현황(2020년 10월) ",백현지,물순환정책과,20210105183851,"안전>하천수질관리>한강 수질검사 결과>한강 수질검사 결과",02-2133-3767,"CC BY-NC",https://opengov.seoul.go.kr/public/21977438
21977440,행정,"2020년 빅데이터담당관 상품권 구매 및 사용내역 공개",윤혜숙,빅데이터담당관,20210105205515,"행정ㆍ기타>갈등예방 및 맞춤형갈등조정>갈등예방 및 맞춤형 갈등조정>서울시 갈등관리 매뉴얼",2133-4263,"CC BY",https://opengov.seoul.go.kr/public/21977440
21983634,행정,"2020년 4분기 ""시립홍은동미래형직업재활시설 그린내"" 업무추진비 집행내역(사회복지법인 서울삼성원)",임종수,장애인복지정책과,20210106095516,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-7468,"CC BY-ND",https://opengov.seoul.go.kr/public/21983634
21983635,행정,"2020년 4분기 ""시립장애인직업재활시설"" 업무추진비 집행내역",임종수,장애인복지정책과,20210106095805,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-7468,"CC BY-ND",https://opengov.seoul.go.kr/public/21983635
21983637,건강,"2020년 공중화장실 점검결과",이정석,감염병관리과,20210106101059,"건강ㆍ식품>환경보건>공중화장실 점검 결과>공중화장실 점검 결과",0221337670,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21983637
21983646,행정,"2020년 엠보팅(mVoting) 운영실적 및 추진현황",신오균,스마트도시담당관,20210106111137,"행정ㆍ기타>서울시정보화정책>모바일 서비스 운영>엠보팅(mVoting) 시스템 운영",02-2133-2953,"CC BY-ND",https://opengov.seoul.go.kr/public/21983646
21983652,안전,"2020년 상반기 소방공무원 인력관리현황",김라리,소방행정과,20210106113247,"안전>재난안전>소방인력관리 현황>소방공무원 인력관리(정원, 현원, 관서별 배치현황)",3706-1322,"CC BY",https://opengov.seoul.go.kr/public/21983652
21983655,환경,"2020년도 에코마일리지 인센티브 지급 현황",곽동호,환경시민협력과,20210106130700,"환경>에너지 절감>에코마일리지제 추진계획 및 현황>에코마일리지 인센티브 지급현황",2133-3605,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21983655
21983656,환경,"2020년 자치구 에코마일리지 인센티브 사업평가 결과",곽동호,환경시민협력과,20210106131027,"환경>에너지 절감>에코마일리지제 추진계획 및 현황>자치구 에코마일리지 인센티브 사업평가 결과",2133-3605,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21983656
21983661,안전,"지점별 항목별 수질현황(2020년 11월)",신동진,물순환정책과,20210106150621,"안전>하천수질관리>한강 수질검사 결과>한강 수질검사 결과",02-2133-3187,"CC BY-NC",https://opengov.seoul.go.kr/public/21983661
21984494,행정,"전자상거래센터 업무추진비 집행내역(2020년 10월~12월)",최은희,공정경제담당관,20210106160138,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5372,"CC BY",https://opengov.seoul.go.kr/public/21984494
21985150,주택도시계획," 지적측량성과 표본검사 및 평가결과 ",주경곤,토지관리과,20210106182129,"주택ㆍ도시계획>토지관리>지적측량 관리현황>지적측량성과 표본검사 및 평가결과",02-2133-4696,"CC BY-ND",https://opengov.seoul.go.kr/public/21985150
21990502,공통업무,"2020년 12월 서울시립대학교 연구처장 업무추진비 공개",조준형,"서울시립대학교 연구지원과",20210107104227,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6351,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21990502
21990504,주택도시계획,"보증금지원형 장기안심주택 공급현황(2012년~2020년)",김현체,공공주택과,20210107105512,"주택ㆍ도시계획>임대주택>임대주택 개발 공급현황>장기안심주택 등 임대주택 개발, 공급현황",02-2133-7054,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21990504
21990505,공통업무,"2020년 상품권 구매 및 사용내역",문덕기,"서울시립미술관 경영지원부 총무과",20210107000000,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2124-8820,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21990505
21990513,행정,"서울영상위원회 위원장 업무추진비 집행내역(2020.11~12월)",이옥희,경제정책과,20210107112522,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5235,"CC BY",https://opengov.seoul.go.kr/public/21990513
21990527,행정,"마포 마을활력소 2020년 4분기 업무추진비 집행내역 공개",김현진,지역공동체담당관,20210107135026,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-6346,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21990527
21990530,공통업무,"2020년 12월 서울시립대학교 기획처장 업무추진비 공개",김소은,기획과,20210107140824,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6312,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21990530
21991065,공통업무,"2020년 상품권구매 및 사용내역 공개",김수진,시설안전과,20210107000000,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",2133-8222,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21991065
21991080,건강,"2020년 축산물 안전관리 종합계획",김세곤,식품정책과,20210107190416,"건강ㆍ식품>식생활 안전>축산 식품 안전 종합대책>축산물 위생 안전관리 종합계획",2133-4724,"CC BY-ND",https://opengov.seoul.go.kr/public/21991080
21991081,건강,"2020년 1분기 축산물 밀집판매지역 점검 및 검사결과",김세곤,식품정책과,20210107190542,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산물 밀집판매지역 점검 및 검사결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991081
21991082,건강,"2020년 2분기 축산물 밀집판매지역 점검 및 검사결과",김세곤,식품정책과,20210107190642,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산물 밀집판매지역 점검 및 검사결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991082
21991083,건강,"2020년 3분기 축산물 밀집판매지역 점검 및 검사결과",김세곤,식품정책과,20210107190736,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산물 밀집판매지역 점검 및 검사결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991083
21991084,건강,"2020년 4분기 축산물 밀집판매지역 점검 및 검사결과",김세곤,식품정책과,20210107190827,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산물 밀집판매지역 점검 및 검사결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991084
21991085,건강,"2020년 1분기 축산식품 지도점검 및 수거검사 결과",김세곤,식품정책과,20210107190947,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산식품 지도점검 및 수거검사 결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991085
21991086,건강,"2020년 2분기 축산식품 지도점검 및 수거검사 결과",김세곤,식품정책과,20210107191055,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산식품 지도점검 및 수거검사 결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991086
