nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
21991087,건강,"2020년 3분기 축산식품 지도점검 및 수거검사 결과",김세곤,식품정책과,20210107191154,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산식품 지도점검 및 수거검사 결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991087
21991088,건강,"2020년 4분기 축산식품 지도점검 및 수거검사 결과",김세곤,식품정책과,20210107191313,"건강ㆍ식품>식생활 안전>축산 식품 안전 지도점검결과>축산식품 지도점검 및 수거검사 결과",2133-4724,"CC BY",https://opengov.seoul.go.kr/public/21991088
21991092,공통업무,"2020년 12월 서울시립대학교 교무처장 업무추진비 사용내역 공개",최선미,"서울시립대학교 교무과",20210107203744,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6108,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21991092
22001695,행정,"2020년 4분기 ""서울창업디딤터 운영"" 업무추진비 집행내역",임문상,투자창업과,20210108085043,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4883,"CC BY",https://opengov.seoul.go.kr/public/22001695
22001699,행정,"서울블록체인지원센터 업무추진비 집행내역 (오픈놀)",김문연,투자창업과,20210108101808,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4885,"CC BY",https://opengov.seoul.go.kr/public/22001699
22001713,행정,"2020년 4분기 시청시민청 업무추진비 집행내역(서울문화재단)",주청,시민소통담당관,20210108110809,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-6418,"CC BY",https://opengov.seoul.go.kr/public/22001713
22001714,행정,"2020년 4분기 삼각산시민청 업무추진비 집행내역(서울문화재단)",주청,시민소통담당관,20210108110907,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-6418,"CC BY",https://opengov.seoul.go.kr/public/22001714
22001725,행정,"2020년 4분기 영보정신요양원 업무추진비 집행 내역",김호남,보건의료정책과,20210108000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-9671,"CC BY",https://opengov.seoul.go.kr/public/22001725
22001733,공통업무,"2020년 구의아리수 정수센터 상품권 구매 및 사용내역",하재용,"구의아리수정수센터 행정관리과",20210108141055,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5414,"CC BY-ND",https://opengov.seoul.go.kr/public/22001733
22002260,행정,"2020년 4분기 서울상상나라 운영 업무추진비 집행내역",추인순,보육담당관,20210108000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5113,"CC BY",https://opengov.seoul.go.kr/public/22002260
22002261,행정,"2015~2020년도 커뮤니티 공간 운영지원 현황",박성균,지역공동체담당관,20210108000000,"행정ㆍ기타>마을공동체 지원>사업별 마을공동체 활동 지원현황>커뮤니티 공간 운영 지원현황",02-2133-6343,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22002261
22002266,행정,"2020년 4분기 ""지역상생교류사업 운영"" 업무추진비 집행내역(슬로푸드문화원)",이홍석,지역상생경제과,20210108161250,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-4462,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22002266
22002267,행정,"2020년 4분기 청소년센터 업무추진비 내역 공개(강동,강북,구로,동대문,목동,문래,화곡)",권희주,청소년정책과,20210108161820,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-4124,"CC BY-ND",https://opengov.seoul.go.kr/public/22002267
22002268,환경,"2020년 「찾아가는 수도교실」 운영실적",김가윤,홍보과,20210108000000,"환경>상수도>찾아가는 수도교실>찾아가는 수도교실",02-3146-1212,"CC BY",https://opengov.seoul.go.kr/public/22002268
22002271,행정,"서울시 협동조합지원센터 2020.4분기 업무추진비 사용내역",유혜수,사회적경제담당관,20210108000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5499,"CC BY",https://opengov.seoul.go.kr/public/22002271
22002284,행정,"2020년 4분기 서울시학교밖청소년지원센터 운영 업무추진비 집행내역(서울시학교밖청소년지원센터)",최경진,청소년정책과,20210108171144,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-4129,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22002284
22002297,행정,"서울먹거리창업센터 업무추진비 공개(20년 4분기)",김동석,도시농업과,20210108175816,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5434,"CC BY",https://opengov.seoul.go.kr/public/22002297
22002309,행정,"서울시 한부모가족지원센터 업무추진비 집행내역(2020.43분기)",최문선,가족담당관,20210108202940,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5163,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22002309
22002314,행정,"서울특별시 동부권직장맘지원센터 업무추진비 집행내역(2020년 4분기)",김수현,여성정책담당관,20210108000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5019,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22002314
22002315,행정,"서울특별시 서남권직장맘지원센터 업무추진비 집행내역(2020년 4분기)",김수현,여성정책담당관,20210108233925,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5019,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22002315
22002316,행정,"서울특별시 서북권직장맘지원센터 업무추진비 집행내역(2020년 4분기)",김수현,여성정책담당관,20210108234052,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5019,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22002316
22010296,행정,"2020년 4분기 서울에너지드림센터 업무추진비 집행내역",김보경,환경시민협력과,20210111192027,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",0221333526,"CC BY",https://opengov.seoul.go.kr/public/22010296
22010299,행정,"2020년4분기 ""서울이주여성상담센터 운영"" 업무추진비 집행내역(서울이주여성상담센터)",임선희,"여성가족정책실 외국인다문화담당관",20210111194108,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5078,"CC BY",https://opengov.seoul.go.kr/public/22010299
22016969,안전,"2020년 빗물이용시설 보조금 지급 현황",황동현,물순환정책과,20210112085215,"안전>물의 재이용>빗물 보조금 지급현황>빗물 보조금 지급내역",0221333779,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/22016969
22016970,공통업무,"2020년 광암아리수정수센터 상품권 구매 및 사용내역",김애련,광암아리수정수센터,20210112094808,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5314,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22016970
22016973,행정,"2020년도 4분기 서울시생활속민주주의학습지원센터 업무추진비 집행내역 ",김미경,서울민주주의담당관,20210112105551,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-6473,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22016973
22019319,건강,"대사증후군관리사업 추진현황(2020년 1분기)",이미선,보건의료정책과,20210112110718,"건강ㆍ식품>건강관리>대사증후군 관리사업 계획>대사증후군 관리사업 계획 및 추진현황",02-2133-7526,"CC BY",https://opengov.seoul.go.kr/public/22019319
22019320,건강,"대사증후군관리사업 추진현황(2020년 2분기 )",이미선,보건의료정책과,20210112110829,"건강ㆍ식품>건강관리>대사증후군 관리사업 계획>대사증후군 관리사업 계획 및 추진현황",02-2133-7526,"CC BY",https://opengov.seoul.go.kr/public/22019320
22019321,건강,"대사증후군관리사업 추진현황(2020년 3분기 )",이미선,보건의료정책과,20210112110942,"건강ㆍ식품>건강관리>대사증후군 관리사업 계획>대사증후군 관리사업 계획 및 추진현황",02-2133-7526,"CC BY",https://opengov.seoul.go.kr/public/22019321
22019322,건강,"대사증후군관리사업 추진현황(2020년 4분기)",이미선,보건의료정책과,20210112111036,"건강ㆍ식품>건강관리>대사증후군 관리사업 계획>대사증후군 관리사업 계획 및 추진현황",02-2133-7526,"CC BY",https://opengov.seoul.go.kr/public/22019322
22019323,행정,"2020년 4분기 산악문화체험센터 업무추진비 집행내역",손경이,체육정책과,20210112111433,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-2698,"CC BY-ND",https://opengov.seoul.go.kr/public/22019323
22019324,행정,"2020년도 4분기 서울혁신파크 운영 업무추진비 집행내역(서울혁신센터)",강영훈,사회혁신담당관,20210112141542,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-6322,"CC BY",https://opengov.seoul.go.kr/public/22019324
22020097,공통업무,"행사 초빙강사료 지급내역 공개(물순환정책과)",하록,물순환정책과,20210112144254,"공통업무>예산집행 관리>행사 초빙강사료 지급현황>행사 초빙강사료 지급현황",02-2133-3764,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22020097
22020098,행정,"목동재난체험관 20년 4/4분기 업무추진비 집행내역",이기승,하천관리과,20210112144335,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-3897,"CC BY",https://opengov.seoul.go.kr/public/22020098
22020099,행정,"2020년 4분기 민간위탁사무 수탁기관 업무추진비 집행내역(서울직장성희롱성폭력예방센터)",오부자,여성권익담당관,20210112000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5322,"CC BY-ND",https://opengov.seoul.go.kr/public/22020099
22020100,행정,"인베스트서울센터 업무추진비 사용내역('20년 4분기)",임윤경,투자창업과,20210112163939,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4763,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22020100
22020102,복지,"2021년 장애인직업재활시설 설치 및 운영현황",임종수,장애인복지정책과,20210112173221,"복지>장애인복지>직업재활시설 설치 및 운영현황>직업재활시설 설치 및 운영현황",2133-7468,"CC BY-ND",https://opengov.seoul.go.kr/public/22020102
22020104,행정,"2020년 4분기 전태일기념관 운영 업무추진비 집행내역(전태일기념관)",홍영철,노동정책담당관,20210112181231,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5426,"CC BY",https://opengov.seoul.go.kr/public/22020104
22026277,행정,"2020년 4분기 서울시청소년상담복지센터 운영 업무추진비 집행내역(서울시청소년상담복지센터)",최경진,청소년정책과,20210113095847,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-4129,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22026277
22026278,공통업무,"2021 정보공개 업무 매뉴얼",최우석,정보공개정책과,20210113090000,"공통업무>민원처리 업무편람>지침 절차 등을 수록한 업무편람>정보공개업무 매뉴얼",02-2133-5680,"CC BY-NC",https://opengov.seoul.go.kr/public/22026278
22026280,행정,"2020년 4분기 ""도시재생지원센터 운영"" 업무추진비 집행내역(""서울특별시 도시재생지원센터"")",오민택,주거재생과,20210113110707,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7159,"CC BY",https://opengov.seoul.go.kr/public/22026280
22026281,복지,"2020년 하절기 대비 노인복지시설 안전점검 결과",김현중,어르신복지과,20210113113141,"복지>어르신복지>어르신복지시설 설치 운영현황>노인복지시설 안전점검 결과",2133-7410,"CC BY",https://opengov.seoul.go.kr/public/22026281
22035610,행정,"2020년 4분기 서대문청소년센터 업무추진비 집행내역, 한국청소년재단))",김은진,청소년정책과,20210114063257,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4122,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22035610
22035611,행정,"2020년 4분기 보라매청소년센터 업무추진비 집행내역(재, 서울가톨릭청소년회)",김은진,청소년정책과,20210114063448,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4122,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22035611
22035612,행정,"2020년 4분기 금천청소년센터 업무추진비 집행내역(푸른나무재단)",김은진,청소년정책과,20210114064243,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4122,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22035612
22035613,행정,"2020년 4분기 성동청소년센터 업무추진비 집행내역(재, 서울가톨릭청소년회)",김은진,청소년정책과,20210114064352,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4122,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22035613
22035614,행정,"20년 4분기 민간위탁사무 업무추진비 공개(시립남부장애인종합복지관)",안호준,장애인자립지원과,20210114000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035614
22035615,행정,"20년 4분기 민간위탁사무 업무추진비 공개(노원시각장애인복지관)",안호준,장애인자립지원과,20210114090743,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035615
22035616,행정,"20년 4분기 민간위탁사무 업무추진비 공개(발달장애인복지관) ",안호준,장애인자립지원과,20210114090905,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035616
22035617,행정,"20년 4분기 민간위탁사무 업무추진비 공개(북부장애인복지관) ",안호준,장애인자립지원과,20210114091026,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035617
22035618,행정,"20년 4분기 민간위탁사무 업무추진비 공개(서울장애인복지관) ",안호준,장애인자립지원과,20210114091137,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035618
22035619,행정,"20년 4분기 민간위탁사무 업무추진비 공개(시립뇌성마비복지관) ",안호준,장애인자립지원과,20210114091241,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035619
22035620,행정,"20년 4분기 민간위탁사무 업무추진비 공개(시립상이군경복지관) ",안호준,장애인자립지원과,20210114091352,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035620
22035621,행정,"20년 4분기 민간위탁사무 업무추진비 공개(시립서대문농아인복지관) ",안호준,장애인자립지원과,20210114091504,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035621
22035622,행정,"20년 4분기 민간위탁사무 업무추진비 공개(시립영등포장애인복지관)",안호준,장애인자립지원과,20210114091606,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-7454,"CC BY-NC",https://opengov.seoul.go.kr/public/22035622
22035623,행정,"서울시 청년교류공간 운영 2020년 4분기 업무추진비 집행내역 공개 ",김강,청년청,20210114000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4307,"CC BY",https://opengov.seoul.go.kr/public/22035623
22035624,행정,"2020년 4분기 ""여성능력개발원 운영"" 업무추진비 집행 내역(서울시여성능력개발원",차지연,여성정책담당관,20210114093500,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5028,"CC BY",https://opengov.seoul.go.kr/public/22035624
22035625,행정,"2020년 4분기 성평등활동지원센터 업무추진비 집행내역",안희숙,여성정책담당관,20210114095215,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5021,"CC BY",https://opengov.seoul.go.kr/public/22035625
22035630,행정," 2020년 4분기 AI 양재 허브 운영 업무추진비 집행내역 ",서수진,거점성장추진단,20210114112016,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-8463,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22035630
22036182,공통업무,"(20.1.1.~12.31.)상품권 구매 및 사용내역(구로소방서 소방행정과)",류효진,"구로소방서 소방행정과",20210114143549,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-2618-3102,"CC BY",https://opengov.seoul.go.kr/public/22036182
22036195,경제,"서울시 소비자단체 현황 및 보조금 지급내역 ",김석용,공정경제담당관,20210114154728,"경제>소비자 지원>소비자 지원현황>소비자단체 현황 및 보조금 지급 내역",02-2133-5369,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22036195
22036196,행정," 2020년 4분기 ""서울숲 운영 및 관리"" 업무추진비 집행내역(서울그린트러스트) ",김숙경,"동부공원녹지사업소 서울숲공원지원과",20210114162951,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-460-2984,"CC BY",https://opengov.seoul.go.kr/public/22036196
22043751,행정," 2020년 4분기 서울여성공예센터 더아리움 업무추진비 집행내역 ",전재현,여성정책담당관,20210115092106,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5027,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/22043751
