nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
21505804,행정,"2020년 1분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""북부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505804
21505805,행정,"2020년 2분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""북부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505805
21505806,행정,"2020년 3분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""북부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505806
21505807,행정,"2019년 4분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""중부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505807
21505808,행정,"2020년 1분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""중부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505808
21505809,행정,"2020년 2분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""중부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505809
21505810,행정,"2020년 3분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""중부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505810
21505811,행정,"2019년 4분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""남부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505811
21505812,행정,"2020년 1분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""남부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505812
21505813,행정,"2020년 2분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""남부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505813
21505814,행정,"2020년 3분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""남부기술교육원"")",최성임,일자리정책과,20201102000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21505814
21517195,행정,"2019년 4분기 ""서울시 기술교육원"" 업무추진비 집행 내역(""북부기술교육원"")",최성임,일자리정책과,20201103103616,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5465,"CC BY-ND",https://opengov.seoul.go.kr/public/21517195
21527421,행정,"서울영상위원회 업무추진비 집행내역",이옥희,경제정책과,20201104101305,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5235,"CC BY",https://opengov.seoul.go.kr/public/21527421
21539383,공통업무,"2020년 10월 서울시립대학교 기획처장 업무추진비 공개",김소은,기획과,20201105094054,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6312,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21539383
21540113,행정,"2020년 10월 유형별 서식민원처리 실적(시본청)",황중섭,시민봉사담당관,20201105204735,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21540113
21549718,안전," 지점별 항목별 수질현황(2020년 9월)  ",백현지,물순환정책과,20201106110853,"안전>하천수질관리>한강 수질검사 결과>한강 수질검사 결과",02-2133-3767,"CC BY-NC",https://opengov.seoul.go.kr/public/21549718
21549724,행정,"서울시 도시철도9호선1단계 민간투자사업 변경실시협약서 공표",이시은,도시철도과,20201106134129,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-4354,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21549724
21549726,행정,"서울도시철도 9호선1단계 최초실시협약서",이시은,도시철도과,20201106135202,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-4354,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21549726
21550548,행정,"송파구 거여동 민자주차장 실시협약서",이상욱,"서울특별시 주차계획과",20201106000000,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-2364,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21550548
21550549,행정,"중곡1동 민자주차장 실시협약서",이상욱,"서울특별시 주차계획과",20201106173539,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-2364,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21550549
21550550,행정,"장안1동 민자주차장 실시협약서",이상욱,"서울특별시 주차계획과",20201106173734,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-2364,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21550550
21550551,행정,"암사1동 민자주차장 실시협약서",이상욱,"서울특별시 주차계획과",20201106173958,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-2364,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21550551
21550552,행정,"신월4동 민자주차장 실시협약서",이상욱,"서울특별시 주차계획과",20201106174136,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-2364,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21550552
21550553,행정,"시흥본동 민자주차장 실시협약서",이상욱,"서울특별시 주차계획과",20201106174348,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-2364,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21550553
21550554,행정,"면목2동 민자주차장 실시협약서",이상욱,"서울특별시 주차계획과",20201106174553,"행정ㆍ기타>민간투자사업>민간투자사업 협약체결>민간투자사업 실시협약서",2133-2364,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21550554
