nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
21309309,환경,"2020년 서울시 도시가스 공급비용 산정용역 결과",김경식,녹색에너지과,20201004114612,"환경>집단에너지>집단에너지 사업 추진현황>도시가스 장단기 공급계획",02-2133-3712,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21309309
21309310,환경,"2020년 서울지역 도시가스 고객센터 지급수수료 산정용역 결과",김경식,녹색에너지과,20201004000000,"환경>집단에너지>집단에너지 사업 추진현황>도시가스 장단기 공급계획",02-2133-3712,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21309310
21310061,행정,"20년 3분기 유니버설디자인센터 운영 업무추진비 집행내역(한국유니버설디자인협회)",이효진,인재기획과,20201005170719,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",3488-2092,"CC BY-ND",https://opengov.seoul.go.kr/public/21310061
21321560,행정,"서울시교통문화교육원 업무추진비(3분기)",이연진,택시물류과,20201006111944,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-2327,"CC BY",https://opengov.seoul.go.kr/public/21321560
21322266,공통업무,"2020년 9월 서울시립대학교 기획처장 업무추진비 공개",김소은,기획과,20201006172300,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6312,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21322266
21330879,행정,"2020년 3분기 서울상상나라 운영 업무추진비 집행내역",추인순,보육담당관,20201007074054,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5113,"CC BY",https://opengov.seoul.go.kr/public/21330879
21330880,행정,"서울시 청년교류공간 2020년 3분기 업무추진비 집행내역 공개 ",김강,청년청,20201007090919,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4307,"CC BY",https://opengov.seoul.go.kr/public/21330880
21330890,행정,"2020년 3분기 ""글로벌문화체험센터 운영""업무추진비 집행내역(서울관광재단)",박주연,외국인다문화담당관,20201007000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",2133-5080,"CC BY",https://opengov.seoul.go.kr/public/21330890
21330896,행정,"서울먹거리창업센터 업무추진비 공개(20년 2분기)",김동석,도시농업과,20201007140136,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5434,"CC BY",https://opengov.seoul.go.kr/public/21330896
21330897,행정,"서울먹거리창업센터 업무추진비 공개(20년 1분기)",김동석,도시농업과,20201007140404,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-5434,"CC BY",https://opengov.seoul.go.kr/public/21330897
