package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
210486661983000,20210217,관용차량관리,"차량운행일지 (2021. 2. 17. / 92모8443)",급수운영과-2464,이은규,10년,급수운영과,,,https://opengov.seoul.go.kr/sanction/
210486661995000,20210217,옥내누수진단관리,"옥내누수진단 민원 처리 완료",현장민원과-2203,김성태,10년,현장민원과,,,https://opengov.seoul.go.kr/sanction/
210486661996000,20210217,출장관리,"출장 결과보고서 (02.17 정다운)",현장민원과-2519,정다운,3년,현장민원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264627
210486662002000,20210217,누수감면관리,"누수요금적용신청 처리결과 알림(명일동 312-73)",행정지원과-2279,김영식,10년,행정지원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264628
210486662003000,20210218,소방특별조사,"소방특별조사 세부조사서(리빙**원룸텔)",예방과-2983,이록영,3년,예방과,,,https://opengov.seoul.go.kr/sanction/
210486662023000,20210217,출장관리,"출장복명서 (2021-02-17, 추성진)",요금과-3744,추성진,3년,요금과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264629
210486662047000,20210217,물품구매,"물품검사(수)조서(녹지관리용 예초기 부속품 구매)",공원운영과-1792,한소진,5년,공원운영과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264630
210486662052000,20210217,급여및수당관리,"2021년 2월 직원 급여 지급 및 원천공제액 세입세출외현금 예치",시사편찬과-1360,이주영,5년,시사편찬과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264631
210486662068000,20210217,일상경비관리,"청사관리 현안 업무 관련 간담회비 지급(총무부장-제로페이)",총무부-3007,신경미,5년,총무부,,"CC BY",https://opengov.seoul.go.kr/sanction/22268972
210486662078000,20210217,구급운영계획및관리,"2021년 구급 위생 소모품 등 구매 소요량 파악 결과 보고",재난관리과-1375,김장현,3년,재난관리과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264632
210486662081000,20210218,출장관리,차량운행일지,현장민원과-2968,서영식,3년,현장민원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275315
210486662082000,20210217,보훈단체예우및지원,"서울시 보훈단체 보조금 집행 잔액 및 발생이자 환수 부과결의",복지정책과-4665,이후락,10년,복지정책과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264633
210486662107000,20210218,"소방차량 점검및 유지관리","유류 청구(회현119안전센터)",회현119안전센터-631,이정일,5년,회현119안전센터,,"CC BY",https://opengov.seoul.go.kr/sanction/22275316
210486662115000,20210217,복무관리,"사회적 거리두기 2단계 소방공무원 복무지침 준수 철저 알림",행정지원과-2317,이일호,3년,행정지원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264634
210486662117000,20210217,"일자리사업 관련","세외수입 수시분 징수결의(2020 뉴딜일자리 청년 문화기획자 양성사업-집행잔액)",문화예술과-2424,양송희,3년,문화예술과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264635
210486662124000,20210217,검사지도일반,"안전시설 등 완비증명서 재발급 계획[2021-14 라클라세]",예방과-3046,김지원,3년,예방과,,,https://opengov.seoul.go.kr/sanction/
210486662134000,20210217,소방시설완공비감리,"소방시설 완공검사신청서 현장 발급 계획(상계초*****유치원)",예방과-2206,김록,준영구,예방과,,,https://opengov.seoul.go.kr/sanction/
210486662137000,20210217,민원업무처리,"급수불편 민원 해소",시설관리과-2718,한규현,10년,시설관리과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264636
210486662140000,20210217,인사관리,"2021년 소방관서장 표창 운영 계획 알림",소방행정과-1742,남태화,3년,소방행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264637
210486662148000,20210217,자체점검,"종합정밀점검 조치명령대상 확인점검 결과 보고(위성***2 등2개소)",예방과-2194,안치현,3년,예방과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264638
210486662151000,20210217,옥내누수진단관리,"옥내누수진단 민원 처리 완료",현장민원과-2204,김성태,10년,현장민원과,,,https://opengov.seoul.go.kr/sanction/
210486662152000,20210217,교육훈련관리,"[원격] 제6기 소방관리자 현장리더십 과정 입교안내",소방행정과-1744,조현욱,3년,소방행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264639
210486662159000,20210217,일반업무관리,"PC 셧다운 제외 및 초과근무 인정 요청(교육정책과)",교육정책과-2835,박수진,3년,교육정책과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264640
210486662162000,20210218,급여및수당관리,"2021년2월 공무직 임금 지급",스마트도시담당관-1969,정영숙,5년,스마트도시담당관,,"CC BY",https://opengov.seoul.go.kr/sanction/22275317
210486662165000,20210218,누수탐지결과및보고,"탐지(출장)결과 보고서",급수운영과-2916,홍기의,5년,급수운영과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275318
210486662174000,20210218,누수감면관리,"누수요금적용신청 처리결과 알림",행정지원과-3554,배소희,10년,행정지원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275319
210486662179000,20210217,소방세외수입관리,"2021년 1월 민원수수료 세입징수 처리 결정결의 등록",소방행정과-1590,강성민,5년,소방행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264641
210486662180000,20210217,"중앙제어실관리 일지","중앙 제어실 운영일지",정수과-1303,최병일,3년,정수과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264642
210486662186000,20210217,"각종 안전점검","의료기관 소방안전 점검결과 통보(삼성**내과의원)",예방과-2198,정연도,3년,예방과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264643
210486662192000,20210217,물품계약관리,"계약체결 보고-매트랩 소프트웨어 구매",총무과-1903,이준영,5년,총무과,,"CC BY",https://opengov.seoul.go.kr/sanction/22268971
210486662195000,20210217,일반업무관리,"[이송] 조리사 면허증 신청에 따른 결격 사항 조회",시민봉사담당관-4033,김나리,3년,시민봉사담당관,,,https://opengov.seoul.go.kr/sanction/
210486662202000,20210217,관용차량관리,"차량운행일지 (2021. 02. 17. / 81머0736)",급수운영과-2586,이성운,10년,급수운영과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264644
210486662204000,20210217,119구급대운영,구조·구급증명서(김*균),수서119안전센터-719,이송남,3년,수서119안전센터,,,https://opengov.seoul.go.kr/sanction/
210486662205000,20210217,일반업무관리,"민관협력사업 추진 결과보고 - GS SHOP외 2개 사업",사회혁신담당관-1810,서지영,3년,사회혁신담당관,,"CC BY",https://opengov.seoul.go.kr/sanction/22264645
210486662215000,20210218,"건설업 영업정지","종합공사시공업 행정처분(영업정지) 및 공고",건설혁신과-2135,박지영,10년,건설혁신과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275320
210486662225000,20210218,성산초소근무일지,"성산초소 근무일지(2021년 02월 17일)",관리단속과-2216,이근식,5년,관리단속과,,,https://opengov.seoul.go.kr/sanction/
210486662229000,20210217,119구급활동일지,"구급활동 보고(2021.2.16. 3팀 3소대 주간)",역삼119안전센터-1072,이기욱,3년,역삼119안전센터,,"CC BY",https://opengov.seoul.go.kr/sanction/22264646
210486662230000,20210218,일상경비관리,"2021년 1월 일상경비출납계산서 보고",행정관리과-1903,전승민,5년,행정관리과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275321
210486662231000,20210217,민원업무처리,"누수요금적용신청 처리결과 알림",행정지원과-2824,박윤정,10년,행정지원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264647
210486662238000,20210218,기동반근무일지,"2021년 2월17일 기동3조 근무일지",관리단속과-2215,김미경,5년,관리단속과,,,https://opengov.seoul.go.kr/sanction/
210486662244000,20210217,옥내누수진단관리,"옥내누수진단 민원 처리 완료",현장민원과-2205,고성배,10년,현장민원과,,,https://opengov.seoul.go.kr/sanction/
210486662247000,20210217,일반업무관리,"PC 셧다운제 제외 및 초과근무 인정 요청(자치행정과 행정협력팀)",자치행정과-3698,배경진,3년,자치행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264648
210486662248000,20210217,상수도시설물점검및유지관리,"순 찰 점 검 일 지",급수운영과-3483,공영춘,5년,급수운영과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264649
210486662250000,20210218,민원관리,"수질검사결과 통보(강동, 불명수)",수질연구과-1699,문은주,10년,수질연구과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275322
210486662251000,20210217,일상경비관리,"2021년 산사태 예경보 전파체계 정비계획 추진 관련 간담회 개최 비용 지급(2.17)",산지방재과-1629,전수희,5년,산지방재과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264650
210486662255000,20210217,수도조례위반단속및과태료청구,"출장결과보고서(돈암동 망실, 2021-02-10, 송시훈)",요금과-3745,송시훈,10년,요금과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264651
210486662258000,20210218,노동자종합지원센터,"2020년 구립 노동자종합지원센터 시비보조금 정산 결과보고",노동정책담당관-2212,곽승민,10년,노동정책담당관,,"CC BY",https://opengov.seoul.go.kr/sanction/22275323
210486662273000,20210218,상하수도요금경정,요금경정,요금과-2673,이경재,10년,요금과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275324
210486662276000,20210217,누수감면관리,"누수요금적용신청 처리결과 알림",행정지원과-2825,윤철,10년,행정지원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264652
210486662286000,20210217,공중및민간개방화장실관리및개선,"국회의원 요구자료 및 응답소 민원사항 관련 협조 요청",감염병관리과-5040,이정석,5년,감염병관리과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264653
210486662290000,20210218,119구급대운영,"구급활동일지(2021. 2. 16. 주간-3팀 음압)",현장대응단-1192,이태용,3년,현장대응단,,"CC BY",https://opengov.seoul.go.kr/sanction/22275325
210486662305000,20210218,119구급대운영,"2월중 구급활동일지 (2월1일 ~2월13일 공단3팀 2소대)",공단119안전센터-616,장은미,3년,공단119안전센터,,"CC BY",https://opengov.seoul.go.kr/sanction/22275326
210486662313000,20210217,주거급여관리,"주거급여 이의신청 관련 청구인 국세청 종합소득(사업소득) 사실 조회 재요청",주택정책과-3135,이지연,5년,주택정책과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264654
210486662316000,20210217,초과근무관리,"2021년 1월중 송파소방서 개인별 초과근무내역 보고(수정)",소방행정과-2174,조경민,3년,소방행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264655
210486662333000,20210217,4소방용수,"소방용수시설 고장 발생 보고(상계)",상계119안전센터-600,김창용,3년,상계119안전센터,,"CC BY",https://opengov.seoul.go.kr/sanction/22264656
210486662344000,20210217,회의관리,"서울복지거버넌스 여성복지분과 회의 결과보고(1차)",여성권익담당관-2414,이선호,5년,여성권익담당관,,"CC BY",https://opengov.seoul.go.kr/sanction/22264657
210486662345000,20210217,[교육]교육훈련관리,"[원격]제6기 소방관리자 현장리더십 과정 입교대상자 보고",소방행정과-1678,안현식,3년,소방행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264658
210486662347000,20210217,소방시설공사착공신고,"소방시설 착공(변경) 신고 서류검토 및 처리[중곡동 78-39 건물/신축]",예방과-2095,정성규,준영구,예방과,,,https://opengov.seoul.go.kr/sanction/
210486662348000,20210217,"각종 안전점검","의료기관 소방안전 점검결과 통보(연세*정형외과의원)",예방과-2199,정연도,3년,예방과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264659
210486662355000,20210217,출장관리,"출장결과보고서(02.17. 김재홍,임형재)",급수운영과-3485,임형재,3년,급수운영과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264660
210486662367000,20210217,소방장비및물품관리,"개인보호장비 인수증 제출(을지로)",을지로119안전센터-628,김성훈,5년,을지로119안전센터,,"CC BY",https://opengov.seoul.go.kr/sanction/22264661
210486662368000,20210217,옥내급수관교체공사비지원결정관리,"옥내급수관 개량공사 완공상태 검사 요청",현장민원과-2960,박상현,5년,현장민원과,,,https://opengov.seoul.go.kr/sanction/
210486662373000,20210217,소방용수시설유지및관리,"고장 소방용수시설 보수 요청",재난관리과-1272,김상열,5년,재난관리과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264662
210486662380000,20210219,균형발전특별회계,"2021년 국가균형발전사업 자체평가 결과보고",예산담당관-2061,박수진,5년,예산담당관,,"CC BY",https://opengov.seoul.go.kr/sanction/22278393
210486662412000,20210217,시청각장애인학습지원센터운영지원,"2021년 청각장애인 문자통역서비스 지원 1분기 사업비 교부 통보",장애인자립지원과-3429,이선호,5년,장애인자립지원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264663
210486662417000,20210217,일반업무관리,"PC 셧다운 제외 및 초과근무 인정 요청",생활환경과-3074,정명후,3년,생활환경과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264664
210486662421000,20210217,일상경비관리,"정동 역사재생사업 추진 관련 간담회비 지급",역사도심재생과-1577,조형솔,5년,역사도심재생과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264665
210486662429000,20210218,노인주거및의료복지시설운영관리,"2021년 1/4분기 노인의료복지시설 운영비 및 식비보전비 재배정",어르신복지과-3618,이성주,10년,어르신복지과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275327
210486662437000,20210217,기록관리,"2021년 2월 “사이버보안 진단의 날” 결과 및 PC 관리대장 정비보고(시흥)",시흥119안전센터-516,조노직,5년,시흥119안전센터,,,https://opengov.seoul.go.kr/sanction/
210486662451000,20210217,일반업무관리,"PC 셧다운 제외 및 초과근무 인정 요청(투자창업과)",투자창업과-1752,백새별,3년,투자창업과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264666
210486662457000,20210217,관용차량관리,"차량운행일지 (2021. 02. 17. / 47거2789)",현장민원과-2207,서정필,10년,현장민원과,,,https://opengov.seoul.go.kr/sanction/
210486662467000,20210218,상하수도요금경정,"수시분 시효결손",요금과-2674,김인용,10년,요금과,,"CC BY",https://opengov.seoul.go.kr/sanction/22275328
210486662480000,20210217,위험물안전관리운영,"위험물(주유)취급소 변경허가 처리내역 통보(북악***]",예방과-1625,박병목,준영구,예방과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264667
210486662481000,20210217,소방시설안전점검및관리,"작동기능점검 조치명령대상 점검확인서(구로2차******)",예방과-3753,강현구,3년,예방과,,,https://opengov.seoul.go.kr/sanction/
210486662482000,20210217,누수감면관리,"누수요금적용신청 처리결과 알림",행정지원과-2827,윤철,10년,행정지원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22264668
210486662488000,20210218,일반업무관리,"전자태그 발행 요청",시민봉사담당관-4065,김현주,3년,시민봉사담당관,,"CC BY",https://opengov.seoul.go.kr/sanction/22275329
