package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
203654498126000,20201230,일상경비관리,"12월 중 출동간식비 지급(12.1~12.29)",신교119안전센터-5346,이주영,5년,신교119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945893
203654498129000,20201230,구급운영,"구급활동일지 전자결재 보고(2020. 12. 22.)",신월119안전센터-5563,서승환,3년,신월119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945892
203654498132000,20201230,일상경비관리,"도로시설과 현안보고 관련 오찬 간담회(행2_제로페이)",행정2부시장실-1489,권오흥,5년,행정2부시장실,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945891
203654498137000,20201230,전시기획수립및운영,"<일어나 올라가 임동식>展 철수를 위한  협조 요청",전시과-9205,이승아,5년,전시과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945890
203654498144000,20201230,교육훈련관리,"2020년 하반기 인사발령자 실무적응교육 자체계획",현장대응단-9475,임지영,3년,현장대응단,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945889
203654498146000,20201230,처분사전통지관리,"처분사전통지서(의견제출통지) - 1842",예방과-16957,홍정아,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945888
203654498155000,20201230,소방건축허가등비협의관리,"건축(허가)신고 신청에 따른 소방협의 회신(비협의, 신길동 151-12)",예방과-26083,최수란,준영구,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945887
203654498156000,20201231,일반업무관리,"주정차위반 과태료 부과 면제 요청",체육정책과-14303,윤상열,3년,체육정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21960876
203654498170000,20201230,계량기검정및교체,"수도계량기 교체 의뢰(개봉1동)",요금과-27114,박범재,10년,요금과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498180000,20201230,일반업무관리,"2020년 서울시 민간전문가 운영 현황 제출",대기정책과-19224,강신애,3년,대기정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945886
203654498184000,20201230,자체점검,"소방시설등 작동기능점검 조치명령 통보(온누**)",예방과-16933,남궁명,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945885
203654498185000,20201230,교육훈련관리,"80.구급이송 불만사항 국민청원관련 재발방지 교육 결과 제출(서초)",재난관리과-8991,하미정,3년,재난관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945884
203654498192000,20201230,급여및수당관리,"2020년 12월분 소득세 등 납부",수도자재관리센터-26548,최다슬,5년,수도자재관리센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945883
203654498194000,20201230,일상경비관리,"부서 직원 격려용 다과류 구입비 지급",뉴미디어담당관-14669,김현주,5년,뉴미디어담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945882
203654498195000,20201230,업무분장,"영선분야 공무직(실무관) 반 분리 시행",시설과-9735,손영민,5년,시설과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945881
203654498205000,20201230,급여및수당관리,"2020년 12월 관내 출장여비 지급",여의도공원관리사무소-3270,송응순,5년,여의도공원관리사무소,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945880
203654498210000,20201230,사업추진점검평가및제도개선,준공검사(감독)조서,환경정책과-18455,김금호,5년,환경정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945879
203654498214000,20201231,구급일반운영,"『코로나19』감염병 재난 기간 중 출동 경찰관에 대한 소독 등 지원 안내",재난관리과-8210,성귀연,3년,재난관리과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498216000,20201230,소방차량관리,"코로나19 예방을 위한 마스크 배정 결과 보고",소방행정과-13095,김금종,10년,소방행정과,공개,,https://opengov.seoul.go.kr/sanction/
203654498218000,20201230,일반업무관리,"자체점검 지적사항 조치명령서(**빌딩)",예방과-24480,간종환,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945878
203654498220000,20201230,기록관리,"(코로나전담)유해물질 접촉 119대원 발생 및 향후 조치사항 제출",현장대응단-7849,유재훈,5년,현장대응단,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498229000,20201231,재결서및재결서송부,"행정심판 재결서 송부(서행심 2020-1208)",서울특별시행정심판위원회-9077,강솔지,영구,서울특별시행정심판위원회,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/21960877
203654498232000,20201230,소방시설정밀점검,"2020.자체점검(종합) 조치명령서『산성OO』",예방과-22945,이진영,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945877
203654498237000,20201230,[지출]일반지출,"산출기초자료조사서(2020년 하반기 정년퇴임식 다과 구매)",소방행정과-13097,안승국,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945876
203654498243000,20201230,소방차량운영관리,"청구 및 출급증(21,30,100,200호 - 경유)",현장대응단-9772,김세훈,10년,현장대응단,공개,,https://opengov.seoul.go.kr/sanction/
203654498252000,20201230,119구급대운영,"청구 및 출급증(구급 개인보호장비 3종 116점)",북가좌119안전센터-4378,김현호,3년,북가좌119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945875
203654498260000,20201230,구급운영일반업무관리,"73. 구급이송 불만사항 국민청원관련 재발방지 교육 결과 보고",재난관리과-6611,고선호,3년,재난관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945874
203654498267000,20201230,일반업무관리,"(목동)4분기 집중 소방안전대책 추진실적 보고",목동119안전센터-5005,윤성규,3년,목동119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945873
203654498273000,20201230,일반업무관리,"중랑 캠핑숲 공무직 공가 결재 신청",공원운영과-20195,이창호,3년,공원운영과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498277000,20201230,"공무직 휴가 및 초과근무 관리","시설정비 실무관 초과근무 명령 (이*혁) 1월",원무과-17508,황필권,3년,원무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945872
203654498281000,20201230,일상경비관리,"12월중 부서운영업무추진비 집행 계획(간식구입)",예방과-16020,설금철,5년,예방과,공개,,https://opengov.seoul.go.kr/sanction/
203654498291000,20201230,일상경비관리,"출동간식비 지급(20.12.1.~ 20.12.29.)",종로119안전센터-5751,최민규,5년,종로119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945871
203654498301000,20201230,교육훈련관리,"개인학습 시간인정 승인요청(사가독서 감상문)",설비부-21256,박경철,3년,설비부,공개,,https://opengov.seoul.go.kr/sanction/
203654498304000,20201230,사회복무요원관리,"사회복무요원 병가 실시(김0규)",공원운영과-17777,남재강,30년,공원운영과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498312000,20201230,일반업무관리,"자체점검 지적사항 조치명령서(**빌딩)",예방과-24479,간종환,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945870
203654498313000,20201231,의약품정보수집및제공,"의약품코드 추가 및 변경 내역 통보(12월)",약제과-7883,지성진,3년,약제과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21960878
203654498314000,20201230,행정심판청구,"행정심판청구사건 자료 협조요청",서울특별시행정심판위원회-9044,박소진,준영구,서울특별시행정심판위원회,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498319000,20201230,세입조정결의,"잡수입 고지서 발급(지방세환급금-자동차세)",요금과-27144,임지연,5년,요금과,공개,,https://opengov.seoul.go.kr/sanction/
203654498320000,20201230,도시농업활성화,"2021년 서울농부포털 활성화를 위한 이벤트 운영계획",도시농업과-20169,정다운,10년,도시농업과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945869
203654498321000,20201230,일반업무관리,"2020년 하반기 휴직 공무원 복무실태 점검 계획 보고",소방행정과-12106,윤정웅,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945868
203654498324000,20201230,구급운영,"구급활동일지 전자결재 보고(2020. 12. 23.)",신월119안전센터-5564,서승환,3년,신월119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945867
203654498327000,20201230,휴가관리,"사가독서학습 휴가 독후감 제출(송경준)",현장대응단-11362,송경준,3년,현장대응단,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945866
203654498331000,20201230,119구급대운영,"구급소모품 관리 대장(경추보호대)",현장대응단-8387,성원희,3년,현장대응단,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498332000,20201230,일반업무관리,"성탄절 및 연말연시 공직기강 확립 자체점검 결과 보고",서빙고119안전센터-5492,이율하,3년,서빙고119안전센터,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498333000,20201230,"고장 및 수리","물품검사(수)조서[방배119안전센터 구급차(6-2호)요소수센서 고장으로 인한 수리]",소방행정과-15815,이현호,5년,소방행정과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498338000,20201230,정보통신관리,"준공검사조서(서울공예박물관 청사경비 위탁용역 2020년12월분)",총무과-10715,정희운,3년,총무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945865
203654498340000,20201230,상하수도요금경정,요금경정,요금과-26307,김미례,10년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945864
203654498345000,20201230,옥내누수탐지관리,"옥내누수진단 민원 처리 완료",현장민원과-20671,천유연,10년,현장민원과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498351000,20201230,급여및수당관리,"직인날인요청(4대보험 상실신고)",시설보수과-7157,문미경,5년,시설보수과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945863
203654498355000,20201230,유아숲체험장조성,"유아숲체험원 e-book 제본 비용 지급",자연생태과-23726,배시연,5년,자연생태과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945862
203654498375000,20201230,119구급대운영,"청구 및 출급증(코로나19 대비 방역물품 구매에 따른 배정)",현장대응단-8577,육동혁,3년,현장대응단,공개,,https://opengov.seoul.go.kr/sanction/
203654498377000,20201230,민원관리,"응답소 민원회신",버스정책과-40426,주진형,10년,버스정책과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498378000,20201230,일상경비관리,"여성권익담당관 신년업무보고 대상사업 관련 논의비용 지급",여성권익담당관-14373,석수현,5년,여성권익담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945861
203654498389000,20201230,예산및결산관리,"2020년 12월중 사무관리비(출동간식비)지급 계획",우이119안전센터-6018,황인규,5년,우이119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945860
203654498394000,20201230,일반업무관리,"2020년 4분기 주택용 소방시설 및 보이는 소화기 유지 관리 결과 보고(목동)",목동119안전센터-5006,윤성규,3년,목동119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945859
203654498398000,20201230,가축위생및방역관리,"도봉구 우이천 야생조류 AI 항원(H5) 검출에 따른 예찰지역 설정 및 차단방역 조치 알림",동물보호과-22159,김종수,5년,동물보호과,공개,,https://opengov.seoul.go.kr/sanction/
203654498401000,20201230,급수불편민원관리,"급수불편 민원 해소",현장민원과-21064,연재훈,10년,현장민원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945858
203654498402000,20201230,교육훈련관리,"2020년 양천소방서 4분기 공무직 산업안전보건교육 실시 결과보고",소방행정과-12767,김명국,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945857
203654498403000,20201230,소방시설정밀점검,"2020.자체점검(종합) 조치명령서『박정희대통령OOOOO』",예방과-22944,이진영,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945856
203654498410000,20201230,일상경비관리,"평생교육과 직원 격려를 위한 도서문화상품권 구입(하반기)",평생교육과-13257,강성준,5년,평생교육과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945855
203654498418000,20201230,HIV검사결과관리,"에이즈(HIV) 확인검사결과 회보(12-214)",질병연구부-15389,박주현,5년,질병연구부,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945854
203654498421000,20201230,물품관리,"개인 보호장비 배정 결과 알림(임시용 면체)",소방행정과-17082,김영진,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945853
203654498424000,20201230,"[500] 예방과(월보, 분보)","2020년 4분기 비화재경보 발생 현황 보고",당산119안전센터-5404,소영춘,5년,당산119안전센터,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498426000,20201230,소방행정과업무관리,"성탄절 및 연말연시 공직기강 자체 특별교육 실시 결과 알림",재난관리과-7484,이요한,3년,재난관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945852
203654498428000,20201230,일반업무관리,"2020년 4/4분기 예방요원 전문화 추진실적 제출",미아119안전센터-6319,한대섭,3년,미아119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945851
203654498430000,20201230,공유재산관리,"코로나-19 피해 지원관련 공유재산 사용료 감액 결정결의",공원운영과-20199,김새별,영구,공원운영과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498432000,20201230,일상경비관리,"부서운영 소요물품 구입",갈등조정담당관-10499,도효지,5년,갈등조정담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945850
203654498436000,20201230,일상경비관리,"2020년 12월(16~31)중부소방서 일숙직비 지급",소방행정과-13098,진성경,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945849
203654498447000,20201230,서울제물포터널설비공사관리,"업무지시전(제물포터널 환기방식 변경관련 공사비 조정 요청)",설비부-21245,박성수,5년,설비부,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945848
203654498453000,20201230,급여및수당관리,"2020년 12월 초과근무수당 및 출동가산금 지급",소방행정과-13106,양석원,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945847
203654498472000,20201230,"[322]청구 및 출입증","청구 및 출급증(12-2호 경유)",여의도119안전센터-5234,이성주,5년,여의도119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945846
203654498479000,20201230,한강공원청소관리,"화장실 및 노동자 휴게실 겨울철 동파(화재) 대비 철저",환경수질과-7958,안병준,5년,환경수질과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945845
203654498480000,20201230,일반업무관리,"자체점검 지적사항 조치명령서(**빌딩)",예방과-24478,간종환,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945844
203654498483000,20201230,민원관리,"의회신문고 접수민원 이송(No.6239)",시민권익담당관-2902,지연경,10년,시민권익담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945843
203654498488000,20201230,일반업무관리(보안),"2021년 1월 수도박물관 공무직·촉탁직 근무명령",정수시설과-8678,김대인,3년,정수시설과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945842
203654498507000,20201230,일상경비관리,"사무실 사무용품 구매(서류파일 등)",종로119안전센터-5752,최민규,5년,종로119안전센터,공개,,https://opengov.seoul.go.kr/sanction/
203654498511000,20201230,용역계약관리,"변경계약 체결 보고(평화의공원 빗물정원 조성 폐기물처리용역)",공원운영과-17466,김호영,5년,공원운영과,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498518000,20201230,하천점용승인관리,"하천점용허가 통보(뚝섬나눔장터 물품보관 컨테이너/자원순환과)",운영총괄과-8725,전다솜,5년,운영총괄과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945841
203654498519000,20201230,급수불편민원관리,"급수불편 민원 해소",현장민원과-21063,연재훈,10년,현장민원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945840
203654498533000,20201230,"일상경비 일반","2020년 연말 직원격려 다과 구매",현장대응단-22126,최태호,5년,현장대응단,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945839
203654498535000,20201230,일상경비관리,"도장 제작비 지급",지역돌봄복지과-23257,이진희,5년,지역돌봄복지과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945838
203654498538000,20201230,녹지및조경시설유지관리,"2020년 무궁화 동산 조성사업 실적 제출",녹지관리과-6762,임혜리,5년,녹지관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945837
203654498540000,20201230,일상경비관리,"코로나19 대응 상황실 구축 관련 간담회 비용 지급(부서운영추진비)",진료부-10052,김우현,5년,진료부,부분공개,,https://opengov.seoul.go.kr/sanction/
203654498542000,20201230,일상경비관리,물품검사(수)조서(드림디포),종합운동장119안전센터-5553,유훈민,5년,종합운동장119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945836
203654498543000,20201230,일반업무관리,"2020년 4분기 명예소방관 통장협의회 안전교육 결과보고",목동119안전센터-5007,윤성규,3년,목동119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21945835
