package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
210215428346000,20210121,유연근무제관리,"재택근무 취소(1.21)",계약심사과-929,소영신,3년,계약심사과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090020
210215428349000,20210121,일반업무관리,"2021년 2월 소방 대우공무원 선발대상자 보고(동작)",소방행정과-677,육신춘,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090021
210215428350000,20210121,위험물제조소등인허가신고관리,"위험물 저장소 완공검사 처리[에스***레콤]",예방과-865,김정윤,준영구,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090022
210215428363000,20210121,복무관리,"타지역 이동 사전신고서 보고(소방위. 배*근)",잠실119안전센터-368,배용근,3년,잠실119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090023
210215428369000,20210121,신종코로나바이러스,"코로나19대응, ‘신학기 외국인유학생 방역대책 추진’ 대학협조 안내요청",외국인다문화담당관-806,이기덕,5년,외국인다문화담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22096937
210215428375000,20210121,휴가관리,"북서울꿈의숲 공무직 특별휴가 결재 신청",북서울꿈의숲관리사무소-229,이창호,3년,북서울꿈의숲관리사무소,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090024
210215428377000,20210121,상하수도검침심사및통보,"2021년도 공동주택 위탁검침 대상 및 1분기 수수료 소요예산 제출",요금과-1526,오은숙,5년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090025
210215428379000,20210121,인사관리,"2021년 1월 복직자 호봉재획정 결과 보고",소방행정과-741,김지웅,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090026
210215428380000,20210123,기록관리,"근무일지(현장대응단, 2021-01-14)",현장대응단-526,홍루미,5년,현장대응단,부분공개,,https://opengov.seoul.go.kr/sanction/
210215428383000,20210121,위험물제조소등인허가신고관리,"위험물 일반취급소 완공검사 처리[에스***레콤]",예방과-853,김정윤,준영구,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090027
210215428384000,20210121,유연근무제관리,"1월 3주차 재택근무 일정 변경(1차)",예방과-1325,김동주,3년,예방과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090028
210215428385000,20210121,일반업무관리,"남산공원/회현자락 근무일지 1/19(화)",공원운영과-1006,김용재,3년,공원운영과,공개,,https://opengov.seoul.go.kr/sanction/
210215428386000,20210121,화재원인조사및분석,"화재조사 장비 운용 및 증거물 감정센터 순환 근무",현장대응단-610,이승현,영구,현장대응단,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090029
210215428388000,20210121,전국시도지사협의회운영,"대한민국시도지사협의회 대정부 건의과제 관련 부서 의견 제출 요청",대외협력담당관-627,류대호,10년,대외협력담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090030
210215428391000,20210121,옥내급수관교체공사비지급,"옥내급수관 개량공사 완공상태 검사 요청",현장민원과-1069,박학중,5년,현장민원과,부분공개,,https://opengov.seoul.go.kr/sanction/
210215428397000,20210121,일상경비,"물품검사(수)조서(자원관리과 사무용 물품 구매)",자원관리과-892,원종만,5년,자원관리과,부분공개,,https://opengov.seoul.go.kr/sanction/
210215428414000,20210121,일반업무관리,"남산공원/회현자락 근무일지 1/20(수)",공원운영과-1007,김용재,3년,공원운영과,공개,,https://opengov.seoul.go.kr/sanction/
210215428421000,20210121,상하수도요금경정,요금경정,요금과-1506,정풍년,10년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090031
210215428444000,20210121,청원경찰복무관리,공공안전관근무일지(서소문청사),총무과-2081,정용희,5년,총무과,비공개,,https://opengov.seoul.go.kr/sanction/
210215428450000,20210121,소방시설공사착공신고,"소방공사 감리자 지정신고 및 착공신고 검토 처리 알림[도곡동 941-1** / 신축]",예방과-1341,이해운,준영구,예방과,부분공개,,https://opengov.seoul.go.kr/sanction/
210215428451000,20210121,인사발령및전보,"소방공무원 복직신청 보고",소방행정과-648,이창직,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090032
210215428466000,20210121,인사발령및전보,"제로페이담당관 직원 팀 배치",제로페이담당관-544,권혜정,3년,제로페이담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090033
210215428471000,20210121,옥내급수관교체공사비지급,"공사완료 통보",현장민원과-1070,박학중,5년,현장민원과,부분공개,,https://opengov.seoul.go.kr/sanction/
210215428473000,20210121,세입세출외현금관리,"2021년 1월 봉급공제금 납부(세입세출외현금 반환)",인재기획과-741,곽영희,5년,인재기획과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090034
210215428490000,20210121,관용차량관리,"차량배차신청 (2021-01-21)",급수운영과-1378,이성진,10년,급수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090035
210215428501000,20210121,관용차량관리,차량배차신청,급수운영과-1302,전광록,10년,급수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090036
210215428518000,20210121,보건위생및의약분야수사,"범죄경력(수사자료) 조회 요청",민생사법경찰단-996,홍기정,5년,민생사법경찰단,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090037
210215428519000,20210121,소방시설종합정밀점검,"조치명령 대상 점검 확인서(AIA타***)",예방과-1012,홍현경,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090038
210215428523000,20210121,물품구매,"제어실 가습기 추가 구매",정수과-803,조광희,5년,정수과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090039
210215428528000,20210121,소방시설종합정밀점검,"조치명령 대상 점검 확인서(서울역***)",예방과-1011,홍현경,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090040
210215428533000,20210121,당직관리,"2021년 1월 중 당직근무 변경 알림(7차)",소방행정과-669,윤민식,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090041
210215428541000,20210121,"각종 개발사업관련 협의(저영향개발 사전협의)","검토의견 알림[금천 시흥동 종합병원 및 공동주택 신축(초안)]",물순환정책과-1417,하록,10년,물순환정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090042
210215428552000,20210122,중앙제어실관리,"아리수정수센터운영일보(2021. 1. 20.)",정수과-205,전방호,3년,정수과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22097277
210215428554000,20210121,일반업무관리,"근무일지(공단119안전센터, 2021-01-03)",공단119안전센터-278,김성일,3년,공단119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090043
210215428563000,20210121,기동반근무일지,"2021년 01월 20일 4조 야간근무일지",관리단속과-895,이근식,5년,관리단속과,부분공개,,https://opengov.seoul.go.kr/sanction/
210215428564000,20210121,물품구매,"온라인 잔류염소계측기 시약 구매",정수과-854,김거성,5년,정수과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22096936
210215428566000,20210121,일반업무관리,"근무일지(공단119안전센터, 2021-01-09)",공단119안전센터-277,김성일,3년,공단119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090044
210215428568000,20210121,교통법규위반,"도로교통법 위반사실 통지에 따른 의견진술",소방행정과-620,최용범,10년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090045
210215428569000,20210121,민방위경보상황관리,"유 선 장 애 일 지",민방위경보통제소-184,유병석,10년,민방위경보통제소,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090046
210215428571000,20210121,초과근무관리,"공무직(시설정비원) 초과근무 명령 신청(2021. 1. 22.)",시설운영과-540,김은내,3년,시설운영과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090047
210215428575000,20210121,일반업무관리,"근무일지(공단119안전센터, 2021-01-11)",공단119안전센터-276,김성일,3년,공단119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090048
210215428577000,20210121,일반업무관리,"근무일지(공단119안전센터, 2021-01-12)",공단119안전센터-275,김성일,3년,공단119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22090049
