package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
210416447961000,20210210,민원관리,"[직소민원회신] 위과선에 대한 건의입니다.",교통정책과-2726,신경택,10년,교통정책과,,,https://opengov.seoul.go.kr/sanction/
210416447969000,20210210,민원업무처리,"급수불편 민원 해소(148-**)",시설관리과-2994,권병훈,10년,시설관리과,,,https://opengov.seoul.go.kr/sanction/
210416447984000,20210210,관용차량관리,차량운행일지,현장민원과-2711,권용기,10년,현장민원과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233189
210416447992000,20210210,일상경비관리,"소관부서 위원회 위원 추천현황 파악 간담회비 지급",문화체육관광전문위원실-330,서교직,5년,문화체육관광전문위원실,,"CC BY",https://opengov.seoul.go.kr/sanction/22233188
210416448001000,20210210,소방안전대책수립및운영,"공동주택 피난시설 안전관리 및 황금시간 확보 관련 화재안전안내문 배부계획",예방과-1884,한성준,3년,예방과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233187
210416448004000,20210210,당직관리,"당직 및 위기대응지원본부 근무명령(2월 4차 변경)",소방행정과-1267,송태권,3년,소방행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233186
210416448007000,20210210,초과근무관리,"2021년 1월 초과근무내역 수정 보고",소방행정과-1424,김남호,3년,소방행정과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233185
210416448014000,20210210,배출수처리시설운영관리,"물품매입요구서(일반물품_수분측정기) 제출",정수과-1791,정승경,5년,정수과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233184
210416448020000,20210210,민방위운영일일점검관리,"동절기 민방위 경보사이렌 특별점검 보고서",민방위경보통제소-413,신호균,10년,민방위경보통제소,,"CC BY",https://opengov.seoul.go.kr/sanction/22233183
210416448024000,20210210,소방시설완공감리검사,"소방시설 완공검사증명서 발급 대상 안내[국***어린이집 (국제금융로 8길 26)]",예방과-2738,최수란,준영구,예방과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233182
210416448035000,20210210,검사지도일반,조치명령확인검사서(남부종합시장/종합),예방과-2742,조문주,3년,예방과,,,https://opengov.seoul.go.kr/sanction/
210416448040000,20210210,사회복무요원관련,"코로나19 확산방지 위한 '21년 2월 3주차 사회복무요원 공가 실시 계획(알림)",소방행정과-1892,오승훈,3년,소방행정과,,,https://opengov.seoul.go.kr/sanction/
210416448045000,20210210,상하수도요금경정,요금경정,요금과-3528,이선희,10년,요금과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233181
210416448052000,20210210,일반업무관리,"'21년 상반기 재난대응과 사무전결 이행상태 점검 결과 제출",재난대응과-3318,김병철,3년,재난대응과,,"CC BY",https://opengov.seoul.go.kr/sanction/22233180
