nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
21885403,"2020년 12월 사업소 상수도사업본부 본부 안전총괄과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21885403,사업소,상수도사업본부,본부,안전총괄과,,2020,12,,,,"상수도사업본부 안전총괄과","2020-12-23 12:28","포로이 충정로점(중구 청파로 463-21)","상수도 품셈단가표 작성 TF팀 관련 간담회 개최","이정훈 주무관 외 3명",제로페이,100000
21885403,"2020년 12월 사업소 상수도사업본부 본부 안전총괄과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21885403,사업소,상수도사업본부,본부,안전총괄과,,2020,12,,,,"상수도사업본부 안전총괄과","2020-12-23 12:22","찐하오(중구 중림동 10)","정밀안전진단 개선 TF팀 관련 간담회 개최","안전총괄과장 외 3명",제로페이,100000
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-27 15:19","으뜸농산물 (은평구 갈현로)","연말연시 부서직원 격려 과일 구매비 지급","김민욱 외 9명",카드,140000
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-25 19:10","주식회사 아성다이소 (은평구 응암동)","부서운영을 위한 소모품 구매비 지급","김경희 외 9명",카드,69500
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-20 13:48","네이버파이낸셜㈜ (온라인)","부서업무추진 커피 구매비 지급","박정민 외 9명",카드,106000
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-17 11:52","(주)에스디인터내셔날 나인블럭 서오릉점 (고양시 덕양구)","재물조사 관련 간호부 직원 격려 식사비 지급","강선미 외 10명",카드,111000
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-11 10:19","디저트콩콩 (은평구 갈현로)","부서원 격려를 위한 간식비 구입비 지급","강선미 외 10명",카드,28800
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-10 17:49","하모니마트 (은평구 역촌동)","부서운영 업무추진 커피 구매비 지급","현혜숙 외 10명",카드,90000
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-10 12:27","지호한방삼계탕 (은평구 서오능로)","안심격리병동 운영 관련 간호부 지원격려 식사비 지급","차주연 외 9명",카드,126000
21727057,"2020년 12월 사업소  서북병원 간호부 간호1과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21727057,사업소,서북병원,간호부,간호1과,,2020,12,,,,서북병원간호부,"2020-11-02 14:44","으뜸농산물 (은평구 갈현로)","간호부 직원 격려 청과류 구매비 지급","김종금 외 9명",카드,80000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-29 12:55","남산골 생고기 (중구 퇴계로 180-14)","전산통신과 12월 기본업무추진매식비","전산통신과 임경석외 14명",제로페이,200000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-22 11:44","김가네 김밥 (중구 필동1가 35-1)","전산통신과 12월 3차 기본업무추진매식비","전산통신과 임경석외 14명",제로페이,424000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-21 11:09","김가네 김밥 (중구 필동1가 35-1)","전산통신과 부서운영 간담회 식사비용","전산통신과 임경석외 4명",제로페이,150000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-16 11:12","김가네 김밥 (중구 필동1가 35-1)","전산통신과 부서운영 간담회 식사비용","전산통신과 임경석외5명",제로페이,180000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-16 11:09","동방명주 (중구 필동1가37-3)","전산통신과 12월 2차 기본업무추진매식비","전산통신과 임경석외 14명",제로페이,328000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-16 11:06","백암왕순대 (중구 퇴계로30길 5)","전산통신과 12월 1차기본업무추진매식비","전산통신과 임경석외 14명",제로페이,224000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-01 12:48","호미곶 (중구 퇴계로28길 15)","전산통신과 11월 4차 기본업무추진매식비","전산통신과 임경석외 11명",제로페이,128000
21926784,"2020년 12월 사업소 서울종합방재센터 전산통신과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926784,사업소,서울종합방재센터,전산통신과,,,2020,12,,,,전산통신과,"2020-12-01 12:44","백암왕순대 (중구 퇴계로30길 5)","전산통신과 11월 3차 기본업무추진매식비","전산통신과 임경석외7명",제로페이,312000
21907623,"2020년 12월 사업소 상수도사업본부 암사아리수정수센터 정수시설과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21907623,사업소,상수도사업본부,암사아리수정수센터,정수시설과,,2020,12,,,,"암사아리수정수센터 정수시설과","2020-12-17 20:55","㈜강동에프엔비(인기명) (강동구 상일로)","직원격려 부서운영비 지급",27,제로페이,270000
21907623,"2020년 12월 사업소 상수도사업본부 암사아리수정수센터 정수시설과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21907623,사업소,상수도사업본부,암사아리수정수센터,정수시설과,,2020,12,,,,"암사아리수정수센터 정수시설과","2020-12-14 12:48","산수고원 (강동구 동남로)","직원격려 부서운영비 지급",27,제로페이,360000
21907623,"2020년 12월 사업소 상수도사업본부 암사아리수정수센터 정수시설과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21907623,사업소,상수도사업본부,암사아리수정수센터,정수시설과,,2020,12,,,,"암사아리수정수센터 정수시설과","2020-12-14 14:42","홈플러스 강동점(온라인) (강동구 양재대로)","부서운영물품(차류, 다과 등)구매",27,카드,208900
21907623,"2020년 12월 사업소 상수도사업본부 암사아리수정수센터 정수시설과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21907623,사업소,상수도사업본부,암사아리수정수센터,정수시설과,,2020,12,,,,"암사아리수정수센터 정수시설과","2020-12-10 14:40","㈜백년화편 (상동구 양재대로)","직원격려 부서운영비 지급",27,제로페이,100400
21907623,"2020년 12월 사업소 상수도사업본부 암사아리수정수센터 정수시설과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21907623,사업소,상수도사업본부,암사아리수정수센터,정수시설과,,2020,12,,,,"암사아리수정수센터 정수시설과","2020-12-10 14:13","하모니마트 상일점 (강동구 상일로)","직원격려 부서운영비 지급",27,제로페이,95450
21907623,"2020년 12월 사업소 상수도사업본부 암사아리수정수센터 정수시설과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21907623,사업소,상수도사업본부,암사아리수정수센터,정수시설과,,2020,12,,,,"암사아리수정수센터 정수시설과","2020-12-10 13:52","서브웨이 (강동구 상일로)","직원격려 부서운영비 지급",27,카드,400000
21926789,"2020년 12월 사업소 서울도서관 정보서비스과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926789,사업소,서울도서관,정보서비스과,,,2020,12,,,,"서울도서관 정보서비스과","2020-12-24 15:02","본청사 매점 (중구 세종대로 110 본청사 매점)","부서운영을 위한 다과 구입비 지급","정보서비스과장 외 30명",제로페이,216150
21926789,"2020년 12월 사업소 서울도서관 정보서비스과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21926789,사업소,서울도서관,정보서비스과,,,2020,12,,,,"서울도서관 정보서비스과","2020-12-22 14:00","맨인커피 시청점 (중구 무교로6 B1F)","2021년 사업추진계획 부서 회의 다과 구입비 지급","서울도서관장 외 8명",제로페이,37100
