nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
21751337,"2020년 11월 사업소 상수도사업본부 광암아리수정수센터 정수과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21751337,사업소,상수도사업본부,광암아리수정수센터,정수과,,2020,11,,,,"광암아리수정수센터 정수과","2020-11-26 14:02","이마트 명일점(강동구 명일동)","직원 회의 등을 위한 커피 등 차류 구매","정수과장 외 25명",카드,464260
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-30 12:55","동원VIP참치 중구 세종대로 22길 16","공익법무사 상담장소 확보를 위한 간담회","법률지원담당관 등 6명",제로페이,113000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-26 20:35","G마켓 강남구 테헤란로 152","부서 탕비실 운영을 위한 차류 구매비용","법률지원담당관 직원 전체",카드,66400
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-26 14:38","덕수궁 리에제 와플 중구 덕수궁길 5","현안업무 추진 직원 격려 다과비용","법률지원담당관 직원 전체",제로페이,155700
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-24 19:35","구이구이 중구 을지로 6","공익법무사 사업활성화를 위한 간담회","법률지원담당관 등 7명",제로페이,160000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-24 12:42","㈜바닷가작은부엌덕수궁점 중구 덕수궁길7","예산심의 대응 직원격려를 위한 간담회","법률지원담당관 등 2명",제로페이,34000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-23 20:13","참숯골 중구 무교로 16","의회 대응 직원 격려 간담회","법률지원담당관 등 7명",제로페이,150000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-16 12:32","구이구이 중구 을지로 6","시정 주요 자문을 위한 간담회","법률지원담당관 등 4명",제로페이,74000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-12 12:37","광화문 몽로 중구 세종대로21길 40","법률자문 활성화를 위한 간담회","법률지원담당관 등 4명",제로페이,74000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-11 12:29","구이구이 중구 을지로 6","계약심사 활성화를 위한 간담회","법률지원담당관 등 3명",제로페이,49000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-10 12:49","더미시청점 중구 남대문로9길 40","주요 소송 수행을 위한 간담회","법률지원담당관 등 9명",제로페이,184000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-04 19:02","생어거스턴 서울파이낸스점 중구 세종대로 136","격무직원 격려를 위한 간담회","시민법률서비스팀장 등 3명",제로페이,69000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-03 12:41","㈜바닷가작은부엌덕수궁점 중구 덕수궁길7","공익법무사 상담실적 제고를 위한 간담회","법률지원담당관 등 3명",제로페이,68000
21760684,"2020년 11월 서울시본청 기획조정실 정책기획관 법률지원담당관 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21760684,서울시본청,기획조정실,정책기획관,법률지원담당관,,2020,11,,,,"기획조정실 법률지원담당관","2020-11-02 19:25","이지샐러드( 중구 남대문로9길 40)","행정사무감사 예질 검토 직원 격려를 위한","시민법률서비스팀장 등 3명",제로페이,30900
21761897,"2020년 11월 사업소 서북병원 진료부 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21761897,사업소,서북병원,진료부,,,2020,11,,,,진료부,"2020-11-11 15:37","이마트 은평점(은평구 은평로 111 강희석)","진료부 10월 부서운영 물품 구입비 지급","진료부 직원 80명",카드,384600
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-30 12:24","보돌미역(서울 중구 세종대로)","현안부지 관계자 면담 관련 식사비",공공개발추진반장외3명,제로페이,60000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-26 12:08","시골보쌈&감자옹심이(서울 서초구 방배천로2길)","과천대로 주민설명회 관련 식사비","담당주무관외 7명",카드,159000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-26 11:53","권명옥가마솥나주곰탕(서울 중구 다동길)","입체도시 용역 실무회의 관련 간담회",공공개발기획단장외3명,제로페이,48000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-25 12:11","창고43(서울 중구 무교로)","시의회 대응 자료검토 관련 간담회",공공개발기획단장외3명,제로페이,40000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-24 12:22","무교동낙지(서울 중구 덕수궁길)","시의회 대응 관련 업무협의 간담회",공공개발기획단장외4명,제로페이,77000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-23 12:10","창고43(서울 중구 무교로)","협상부지 관계자 면담 관련 간담회",공공개발추진반장외5명,제로페이,75000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-19 12:26","참숯골(서울 중구 무교로)","효창공원 작품공모전 실무회의 관련 간담회",공공개발추진반장외6명,제로페이,89000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-16 21:30","미향한정식(서울 종로구 사직로12길)","현안업무 관련 시의원 간담회",공공개발기획단장외6명,카드,266000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-13 20:22","반갑다하대포(서울 중구 다동)","부서 직원 격려 간담회",공공개발기획단장외8명,카드,239000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-13 12:13","원주추어탕(서울 중구 무교로)","도심내 대규모공원 활성화계획 실무회의 관련 간담회",공공개발기획단장외4명,제로페이,50000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-10 12:31","곰국시집(서울 중구 무교로)","공공토지자원 기본계획 실무회의 관련 간담회",공공개발기획단장외4명,제로페이,92000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-10 09:18","㈜한국문화진흥(서울 강남구 강남대로)","하반기 직원 생일 격려 상품권 구매","공공개발기획단 하반기 생일자 15명",카드,135450
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-10 09:17","㈜한국문화진흥(서울 강남구 강남대로)","하반기 직원 생일 격려 상품권 구매","공공개발기획단 하반기 생일자 15명",카드,135450
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-09 12:11","신가원설렁탕(서울 중구 을지로1길)","서울혁신파크 협의 관련 간담회",공공개발기획단장외5명,제로페이,62000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-04 13:46","동원청과(서울 노원구 동일로180)","내방객 접대용 다과비",공공개발기획단,제로페이,50000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-04 12:14","우도일식(서울 중구 세종대로)","협상부지 자문회의 관련 간담회",공공개발기획단장외6명,제로페이,105000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-03 12:59","블랙와인커피(경기도 파주시 교하로1205번길)","부서 휴게공간 비치용 커피원두 구입",공공개발기획단,카드,128250
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-03 12:37","라그릴리아(서울 종로구 청계천로)","부서 직원 격려 간담회",공공개발기획단장외9명,제로페이,358500
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-02 20:16","파리바게뜨(서울 중구 남대문로9길)","부서 운영회의 및 내방민원 접대용 다과비",공공개발기획단,제로페이,60000
21780691,"2020년 11월 서울시본청 공공개발기획단 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21780691,서울시본청,공공개발기획단,,,,2020,11,,,,"공공개발 기획단","2020-11-02 11:59","창고43(서울 중구 무교로)","관문도시 실무회의 관련 간담회",공공개발기획단장외4명,제로페이,50000
21681523,"2020년 11월 소방재난본부(소방서) 119특수구조단 소방항공대 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21681523,소방재난본부(소방서),119특수구조단,소방항공대,,,2020,11,,,,"119특수구조단 소방항공대","2020-11-18 14:32","강서농협하나로마트(강서구 금낭화로 127)",커피및차류구매,전직원,제로페이,341090
21681523,"2020년 11월 소방재난본부(소방서) 119특수구조단 소방항공대 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/21681523,소방재난본부(소방서),119특수구조단,소방항공대,,,2020,11,,,,"119특수구조단 소방항공대","2020-11-04 15:18","강서농협하나로마트(강서구 금낭화로 127)",커피및차류구매,전직원,제로페이,310940
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-30 14:29","2001중계점(노원구 동일로204가길)","부서 운영에 필요한 차와 음료 등 구입비 지급","학예과장 외 10명",카드,93940
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-27 10:35","SSG.COM(종로구 우정국)","부서 운영에 필요한 차와 음료 등 구입비 지급","학예과장 외 10명",카드,201300
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-26 17:40","해비치호텔앤드리조트(종로구 우정국로)","한네프켄 전시 광고디자인 회의 간담회 지급","정재임 외 6명",카드,200000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-26 14:45","레스토랑알펙 에비뉴엘 월드타워점(송파구 올림픽로)","북서울미술관 전시해설 도슨트 운영업무 간담회 지급","김정현 외 9명",카드,156000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-25 15:29","스타벅스 중계점(노원구 동일로)","부서 운영에 필요한 차와 음료 등 구입비 지급","학예과장 외 10명",카드,48200
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-25 15:27","스타벅스 중계점(노원구 동일로)","북서울미술관 전시 업무에 노고한 직원 격려 물품구매","김보아 외 4명",카드,100000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-25 13:04","2001.아울렛 애슐리(노원구 동일로)","북서울미술관 전시 홍보 방안에 대한 업무 간담회 지급","학예과장 등 15묭",카드,254400
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-24 12:44","까페세마(노원구 동일로)","부서업무에 노고한 직원 격려 간담회","오연서 외 5명",카드,18000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-23 12:52","까페세마(노원구 동일로)","하반기 어린이전시 홍보 추진방향 간담회 지급","학예과장 외 5명",카드,17500
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-23 12:23","하나샤브샤브(노원구 동일로)","유휴공간 프로젝트 참여작가 간담회 지급","김정현 외 3명",카드,106000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-23 12:31","하나샤브샤브(노원구 동일로)","하반기 어린이전시 홍보 추진방향 간담회 지급","학예과장 외 5명",카드,126000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-20 15:05","디얼루어 쎄마(중구 덕수궁길61)","2020 타이틀매치 참여작가 간담회 지급","유민경 외 2명",카드,12000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-20 13:00","해주곰탕찹쌀순대(노원구 공릉로)","유휴공간 프로젝트 ""당신의 정원"" 회의 간담회 지급","학예과장 외 2명",카드,63000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-19 12:33","까페세마(노원구 동일로)","부서업무에 노고한 직원 격려 간담회","학예과장 외 7명",카드,32000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-18 12:42","까페세마(노원구 동일로)","북서울미술관 전시 SNS홍보 방안대책 간담회 지급","학예과장 외 4명",카드,12000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-18 11:58","버거톤(노원구 섬발로258)","북서울미술관 전시 SNS홍보 방안대책 간담회 지급","학예과장 외 3명",카드,49200
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-17 17:31","매일파스타(노원구 동일로203가길)","물체주머니 전시 작가와 간담회 지급","운영부장 외 3명",카드,50300
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-17 17:52","서울브루머리(마포구 토정로3안길)","2021년 타이틀매치 도록기획 회의 간담회 지급","유민경 외 10명",카드,207000
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-10 17:31","옥수역 파리바게뜨(성동구 옥수동)","물체주머니 전시연계 프로그램 운영에 관한 간담회 지급","김정현 외 4명",카드,34850
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-06 13:05","매일파스타(노원구 동일로203가길)","2020 타이틀매치 전 관련 업무 간담회","운영부장 외 4명",카드,88200
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-05 17:04","홈플러스 중계점(노원구 동일로)","부서 운영에 필요한 차와 음료 등 구입비 지급","학예과장 외 10명",카드,143410
21750570,"2020년 11월 사업소  시립미술관 북서울미술관 학예과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21750570,사업소,시립미술관,북서울미술관,학예과,,2020,11,,,,"시립미술관 북서울미술관 학예과","2020-11-02 12:45","하계동 닭한마리(노원구 공릉로70길)","2020 북서울미술관 전시 예산업무 간담회","운영부장 외 6명",카드,62000
21751338,"2020년 11월 서울시본청 도시계획국 도시빛정책과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21751338,서울시본청,도시계획국,도시빛정책과,,,2020,11,,,,"도시계획국 도시빛정책과","2020-11-27 12:09","문어세상(중구 세종대로)","불법광고물 기동정비반 정비실적 관련 간담회비 지급","과장외 5명",제로페이,87000
21751338,"2020년 11월 서울시본청 도시계획국 도시빛정책과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21751338,서울시본청,도시계획국,도시빛정책과,,,2020,11,,,,"도시계획국 도시빛정책과","2020-11-25 11:59","곰비임비(중구 세종대로)","좋은빛위원회 심의결과 검토관련 간담회비 지급","과장외 5명",제로페이,68000
21751338,"2020년 11월 서울시본청 도시계획국 도시빛정책과 업무추진비 - 시책추진 부서운영",http://opengov.seoul.go.kr/public/21751338,서울시본청,도시계획국,도시빛정책과,,,2020,11,,,,"도시계획국 도시빛정책과","2020-11-24 00:00","서울시청매점(중구 서소문동)","부서운영 물품 구입비 지급",전직원,제로페이,300000
