nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
21616398,"2020년 9월 서울시본청 복지정책실 복지기획관 장애인자립지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21616398,서울시본청,복지정책실,복지기획관,장애인자립지원과,,2020,9,,,,"복지정책실 장애인자립지원과","2020-09-16 15:02","㈜롯데쇼핑(서울시 중구 소동동 1번지)","부서 코로나19 현안업무 관련 담당자 다과비용 지급","장애인자립지원과장 등 4명",카드,56000
21616398,"2020년 9월 서울시본청 복지정책실 복지기획관 장애인자립지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21616398,서울시본청,복지정책실,복지기획관,장애인자립지원과,,2020,9,,,,"복지정책실 장애인자립지원과","2020-09-11 12:54","㈜부자되세요 창고43 무교점(서울특별시 중구 무교로 21)","장애인복지관 합동지도점검 관련 사업담당자 식사비 지급","장애인자립지원과장 등 3명",제로페이,132000
21616398,"2020년 9월 서울시본청 복지정책실 복지기획관 장애인자립지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21616398,서울시본청,복지정책실,복지기획관,장애인자립지원과,,2020,9,,,,"복지정책실 장애인자립지원과","2020-09-08 12:55","오후청(서울특별시 중구 남대문로1길 26-10)","복지포털 맞춤형서비스 개편업무 관련 사업담당자 간담회비 지급","장애인자립지원과장 등 8명",제로페이,49000
21616398,"2020년 9월 서울시본청 복지정책실 복지기획관 장애인자립지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21616398,서울시본청,복지정책실,복지기획관,장애인자립지원과,,2020,9,,,,"복지정책실 장애인자립지원과","2020-09-03 12:54","오후청(서울특별시 중구 남대문로1길 26-10)","장애인편의시설 설치적합성 검토 관련 사업담당자 간담회비 지급","장애인자립지원과장 등 4명",제로페이,83000
21356917,"2020년 9월 사업소 상수도사업본부 중부수도사업소 행정지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21356917,사업소,상수도사업본부,중부수도사업소,행정지원과,,2020,9,,,,"상수도사업본부 중부수도사업소 시설관리과","2020-09-25 12:02","숙이네(종로구 종로40가길 13 1층)","급수공사 및 현장민원 업무 관련 직원격려 간담회 실시","시설운영팀장 외 5명",제로페이,52000
21356917,"2020년 9월 사업소 상수도사업본부 중부수도사업소 행정지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21356917,사업소,상수도사업본부,중부수도사업소,행정지원과,,2020,9,,,,"상수도사업본부 중부수도사업소 시설관리과","2020-09-17 13:02","지수마트(관악구 조원중앙로1길)","부서운영 및 내방민원 접대를 위한 차류 및 다과류 구입","시설관리과장 외 50명",제로페이,207850
21356917,"2020년 9월 사업소 상수도사업본부 중부수도사업소 행정지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21356917,사업소,상수도사업본부,중부수도사업소,행정지원과,,2020,9,,,,"상수도사업본부 중부수도사업소 시설관리과","2020-09-02 12:48","지수마트(관악구 조원중앙로1길)","부서운영 및 내방민원 접대를 위한 차류 및 다과류 구입","시설관리과장 외 50명",제로페이,210750
21356917,"2020년 9월 사업소 상수도사업본부 중부수도사업소 행정지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21356917,사업소,상수도사업본부,중부수도사업소,행정지원과,,2020,9,,,,"상수도사업본부 중부수도사업소 급수운영과","2020-09-24 12:07","남원본가추어탕(중구 동호로 24)","20년 하반기 보광배수지 하자점검 관련 간담회","급수운영과장 외6",카드,54000
21356917,"2020년 9월 사업소 상수도사업본부 중부수도사업소 행정지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21356917,사업소,상수도사업본부,중부수도사업소,행정지원과,,2020,9,,,,"상수도사업본부 중부수도사업소 급수운영과","2020-09-17 12:09","약수한방삼계탕(중구 다산로 77)","소블록 물세척 구간 내 공기주입구 설치 공사 관련 간담회","급수운영과장 외 3",카드,60000
21356917,"2020년 9월 사업소 상수도사업본부 중부수도사업소 행정지원과 업무추진비 - 전체",http://opengov.seoul.go.kr/public/21356917,사업소,상수도사업본부,중부수도사업소,행정지원과,,2020,9,,,,"상수도사업본부 중부수도사업소 급수운영과","2020-09-08 10:28","서울시청매점(중구 덕수궁길 15)","민원응대 및 부서운영에 필요한 다류 구매","급수운영과장 외 26",제로페이,265000
